"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"Unknown 071",5943780.63515704,4928605.52929709,14439265.9550899,5823908.78352953,8847574.86223765,11936277.451536,6763830.27985484,6955627.40768258,11631150.4255407,17220817.136161,10867134.1786165,7623925.31874563,7677981.94574982,10125408.8378536,12277397.8551588,15241721.9537049,11379446.9409108,4820958.27374158,23288469.2364168,6305566.46598413,5621747.11829359,11615738.0341378,6719936.78141543,3817347.62756753,14119090.914355,24601682.6888533,23123858.5138779,7184115.05387091,18442074.3910777,10764208.1024184,22184684.5489698,3304857.08772164,15901691.929338,4464337.13241706,8846852.21489958,11121310.1044064,24984225.8339429,7970545.89558316,17040189.6542265,5011703.53399129,23786460.425115,13639088.8456185,18103546.5984668,5220595.54478464,13465089.1085651,8376725.69600749,13059293.0305952,14618368.4436993,7446170.75392883,7212991.40064488
"Unknown 072",289521.349456334,337174.494644178,397928.533500123,306995.247605236,457898.332504794,298975.258691424,246959.287306681,246171.600525939,248800.417927617,448911.373265862,314965.747260668,277424.776024726,271793.102063969,247534.538613007,272732.136082808,294353.951687469,264160.165261851,328670.628942074,443788.121141024,269234.415810736,223351.976165624,189757.088964906,278262.01115494,153957.07817486,200008.86896863,385931.898562902,349928.877433992,220784.662720492,205368.030374572,237245.677145667,215878.946391148,358893.368106399,311983.29887934,213157.152653515,213018.692230883,165875.27301863,339684.883584485,172358.188465783,229378.3977866,191782.061709122,241448.362923017,184428.761893306,282529.564827284,183237.340589041,313841.090893886,333802.772918975,241246.472225361,293804.454528072,228668.135673354,93117.2331322309
"Unknown 073",128393.970408143,86538.795780704,127554.53348559,92680.390947353,262116.70752034,136030.246282468,118370.018374503,78240.923209794,207374.996254248,270611.8534874,308191.19529664,265694.408599644,96681.054405866,271497.172941276,213279.29762928,250064.509103105,187191.54162405,294044.328591498,390812.730300933,196364.212046952,143873.869461948,108506.338579545,88052.21856258,132020.485252347,102696.65596244,123567.480138718,203529.726936318,79594.579947094,150869.32010273,125135.162714952,187751.65259347,204640.04439232,232643.14283079,127739.587273437,106216.678589559,202743.464003828,408816.037413186,111975.492188326,117728.20449838,124260.221136716,503017.485067856,125267.672855038,279649.13161887,129225.159636644,308235.09507019,240964.05707945,195142.906086468,302699.80905008,109369.172440809,217753.172500668
"Unknown 074",388210.35311318,241474.154846426,402796,255377.870607066,370816.661049878,240110.103529752,305909,293594,355012,314212.718741072,367517,293900.038115824,218890.430186623,313485,137631.654852462,428437,203509.641667037,177059.301165528,562096,316152,180672.285920077,164223.467318673,234016.49508025,303679.64695556,256080.269266025,795987,533758,147724.582633316,151163.259319566,231308.61655401,383249,384205,424069.548147469,139311.136256526,396188,242467.3602979,260759.694406065,187096.269101636,206138.576117483,113682.823283454,593323,125280.619705146,516291,162051.39676314,364922,328879,186952.395085048,194877.073646869,301116,274968.239852688
"Unknown 075",41860.796589206,71516.68442458,42968.545116554,47982.343878442,48482.0128935437,37733.063928996,45516.358784683,37419.616261773,49462.60426345,34254.128528466,34255.073095308,98378.81784263,28269.2070936806,42461.670142249,53619.32816907,108693.756512835,33812.514919973,71000.397104559,128709.28016676,11605.5645205286,64737.026606315,66971.920530746,60719.32588511,26689.845103758,60647.821059486,65155.6116565122,102689.511231784,45116.400880626,62346.499005084,61552.16169637,32132.885981639,59244.8375815694,107314.05454188,46953.4155102794,82838.86019712,73461.586475201,177640.33705978,26271.307015697,90905.906933884,72611.774244513,128336.02355007,12261.699113935,50377.4814116472,72217.465854676,101788.64439237,64726.73720693,94262.120182923,41293.808604344,51359.717385907,48159.987313211
"Unknown 076",331593.494354278,373139.611385992,393619.934944971,253496.966780789,472750.273508736,341990.238221271,248275.380142718,236667.978492279,265124.608211061,444527.655534455,335826.541676409,356810.775304328,323808.162217311,231067.538137731,264807.18236359,380795.106951966,378862.645547073,244201.630698726,536932.407730428,153857.097063339,195249.222020951,316834.266358567,254633.341765313,109063.33744314,195643.828274962,432016.361192192,301260.960179337,156055.328455392,178108.104102907,178275.713757735,254293.243875712,282614.752149192,257607.898566197,146610.13598825,246757.417371613,173666.924481888,436900.893467827,101325.543888221,183029.446474779,113090.793369076,337354.381923204,175783.54869678,320825.664913588,106017.300814782,285067.919020048,217082.467279772,201052.12438265,228506.94786393,151469.125428756,102035.438309577
"Unknown 077",546212.915677276,454518.870771271,589693.416031945,616864.10381189,703544.904530996,578517.399699138,481220.163667386,420979.528970827,625160.719040984,784009.771591398,569808.872323985,927119.920308546,638653.267387493,470294.647107104,383639.181203552,755725.673607901,587256.235967396,538439.096316523,871810.673484437,466667.604517369,676481.719347406,470681.718571695,390247.338038583,163337.498519625,299044.444313812,746257.735802743,474502.570434461,262592.041499996,669557.323216781,842330.010103195,503752.1268762,718777.697161826,670058.592042723,636739.051613684,1105185.29153556,1007943.81978173,838317.794486565,153828.95990166,528618.0925577,583169.472385519,837327.746682793,493747.6575824,886035.844312754,233369.775239602,451324.960212698,363117.627153075,298943.83653257,364949.422046666,216715.21126587,281313.332671138
"Unknown 078",69379.3389402095,284852.172982531,267990.251783949,127168.37759033,409807.138566189,164754.774962011,78875.465637062,163219.061337159,267515.640572549,338551.117575399,192507.471729408,169958.349371006,138564.5915935,173476.749507554,391429.83715129,191216.963948649,137331.37069992,627902.366754908,321588.322852288,281720.35265032,180073.99448157,163972.980669662,324914.72269361,138592.569954525,243394.79680379,486308.492729625,193141.563818021,125336.0589067,461814.20050579,334981.307850317,179844.020040003,323396.38104508,360252.926028134,164567.444105775,135887.999578207,229078.179737142,416201.217870952,82222.5090701,203054.065867041,120026.942566325,417586.331155886,161917.812045325,258995.38477785,183385.453076668,227598.30386002,245128.435219066,195138.988896206,275715.884956489,107925.8040214,112285.88674943
"Unknown 079",280230.02067467,622134.251430022,484750.248764911,369327.43181332,743927.813905772,520598.191427732,223734.875801142,235884.123522288,550712.934071655,556230.68266373,509714.17710503,348949.18965464,329428.066809204,403960.717524623,897629.58332273,573049.769021199,413164.400909764,1626844.05668415,699623.624740671,548420.982546746,387646.884169597,351082.593491247,620847.37440453,359055.183388169,446442.823569232,656367.611963161,510699.649846515,305599.374484282,981005.321018192,476901.39750477,308199.529269372,367604.613360068,477148.373485124,413704.981982272,357206.643382695,371674.540626285,845661.61756049,194103.280934094,501653.20882803,290348.985953448,670489.163765213,375793.172019405,673601.575536186,459526.363709259,500022.52869364,437879.054249656,445560.487384961,530824.700922416,248658.086166239,256612.027536446
"Unknown 080",50498.709691648,17345.4022141768,22664.2262559095,17925.5346072345,30943.5079574375,NA,48520.594456133,48350.274312603,24216.8516830978,21325.7508133546,55277.261508659,86838.77523674,61943.831998992,16754.3828775534,6913.125646681,15090.3307290524,40262.25263524,10894.0707351432,66957.3258049,4961.2101106008,31426.652999465,55691.351751527,3962.2087171103,NA,NA,67914.1761150537,103569.402317399,39982.264964524,109353.319894057,59052.633366368,57139.015522804,60833.390518002,72026.92407886,48528.901882302,74420.867108691,65310.378111292,2301.6624088366,NA,40356.927215021,41062.085842558,144358.521667325,51626.18759985,77434.150444702,7790.38033076174,27768.3091645425,NA,NA,10626.306647352,33186.079729503,38561.2717550714
"Unknown 081",186130.537564266,220756.907287496,178918.125505284,184452.910482402,274291.930881894,195710.008862499,200110.974730459,152634.343860582,199517.906576519,226913.65451198,211154.974956308,198660.23874348,238033.40963949,226325.274216924,168328.506286494,222933.476491347,195011.049034301,200237.663559097,279217.709956422,242821.734479428,197507.59346561,162899.660173448,178484.653983174,96487.511430127,183382.173317019,199363.426373616,137698.567981172,147438.088372822,186043.222928162,249185.683833858,165339.893774407,244762.515313389,242468.166159691,260054.274866573,278168.834008336,224928.366164402,217968.035142942,109825.493742378,200325.611665605,191769.074775818,259544.989302666,165117.64264367,248832.448415008,124724.266973681,202933.990414804,181837.207828432,136240.103470344,188070.51133292,128531.200318443,135321.648610315
"Unknown 082",67578.40792911,188145.631573802,101749.628988522,114130.543975664,535928.35036947,106766.565422553,172280.886127277,90377.988350683,479085.24924618,123582.146882699,229657.313060358,147066.478008284,225659.925545177,463271.833119,129921.043880422,184929.610323505,168377.383444572,227789.000340274,274984.256864082,158956.304325569,203270.406808719,220007.547444918,240337.3240182,249809.294477118,147797.963610119,297000.620561571,303085.779636609,179981.2188246,238134.828767491,336306.352447692,266282.98921429,310864.229806613,340452.139007696,290876.76598382,366352.038560873,334640.289769566,391259.66912935,301566.011097201,310949.423927786,283209.659941302,347685.936188482,339934.11831871,369810.870738784,237905.594864106,199412.382326198,294391.164189305,309730.4606321,287442.316864475,155899.989538719,246704.05315532
"Unknown 083",2790151.05791804,2455856.0029033,1778229.73012262,2055537.09609186,3372436.85997465,2234151.94301173,1735276.37288325,1617927.52067553,2020942.54233737,3263717.81194896,2046001.2224025,1882358.61765854,1498582.84300569,1742617.90828863,1864218.98804282,1640121.95341033,2212202.87098257,1807518.90337938,2347738.94228952,1503312.20104846,859546.712197429,1806709.27846789,1430369.49927772,1239661.10343637,1508002.44547296,2796187.11189026,3573866.55653787,1355854.99679975,1534089.22893529,2039222.42127471,3049540.53950909,2508438.14362559,2357375.20204701,1953289.31653937,2445037.46292821,1358877.1602029,2574733.74053765,1796052.48756417,2295131.09932405,1557903.34367877,2945632.50839692,2204766.36604839,2458432.05939232,1432078.17658844,2947203.97472347,2175354.58743849,1848947.75269738,2423033.21097461,1410337.02913289,2332694.06495038
"Unknown 084",986900.98049741,929718.031631994,1382076.47536953,885393.897623321,1163266.02007932,856855.895162182,1167304.75591051,717286.53839661,768897.901578408,1348017.3783405,1121577.69036735,1763452.42437144,999814.512272148,1063197.34499231,1189478.69098675,1141907.46027854,1191801.8922373,1469158.90422971,1215924.96828895,963684.055690321,1039818.2344004,864147.441341046,1041067.68833077,642675.074938021,891565.507917154,1555417.50043948,1413501.31349482,736930.159927397,1102951.25568126,969184.081037222,718022.040078437,1025590.35886449,1255599.88016655,685172.697794039,1900885.25206333,1475735.90615506,1156649.01796891,366582.988554045,877408.058028528,747258.102719965,1451553.59025716,1100331.18596958,1194120.89909763,916801.278797214,1407295.21134825,1011029.53752517,1053983.79063401,1317613.90361711,1140216.80979993,893798.241308248
"Unknown 085",46928.377152706,44400.171895409,57965.082316006,51311.903877894,59322.107876788,45964.664111565,56483.201919172,47883.6714181,68255.98042156,73020.3905090305,69893.850687188,56570.50292991,39582.43451185,48048.96565536,54557.32805145,72096.06186271,68880.812352622,69668.432776433,99976.50130125,36813.71942602,43850.00609681,25801.3558287,52623.431309064,17125.460329466,47967.522710707,91397.00943789,60118.562814012,33720.833051511,56260.970033748,53431.368846026,58041.999962634,51038.785426465,74097.079287674,38543.828875732,73845.262829368,56926.497387178,115382.513254932,21855.59978716,38998.334121572,52420.232731884,92913.210846234,107542.39231812,74040.139629998,32983.912783714,71386.83986097,55773.366696021,59567.275463236,53434.796492956,55230.75692322,31623.751427816
"Unknown 086",2280147.19641254,2445161.62761497,3199446.75915551,2241553.42006776,3759369.13479129,2258766.30207498,2175516.06881946,2565063.60926118,2499242.0458933,3531540.85778311,3309173.56781033,1539662.84173278,2175761.07117761,3572540.24076495,2783407.61063852,3946063.02043122,1977406.52376343,4439581.37898511,3340586.71652993,3135414.3275294,1498885.84111466,1507087.57456001,3462825.18072028,1847118.93896631,2188447.36988816,4228750.86000751,3635365.99157943,1665390.13272938,1845247.58524752,2004504.54455783,3032050.49234117,3560644.66958606,3376079.78121948,2521865.79244923,1932840.91355377,1667159.55732366,3507835.40675281,2027018.48899021,2488576.29825378,1341615.72187407,4234387.13569834,2246608.62044603,2832161.03591369,1640411.62073337,2842329.5863387,3236620.12927061,2357847.10651829,3996531.31995398,1587079.17567561,1637844.31641536
"Unknown 087",1215638.06886483,1136627.76678487,1269557.5101351,1253761.12101598,1474678.5618725,1078987.52997262,1047669.05283021,989478.21098002,1006681.87866159,1848143.62877124,1710344.52761747,580142.365846376,915998.314064907,1677226.11627649,1382411.93201387,1896940.04188578,792526.861638941,2988549.69638228,1244817.68602616,2282950.20389866,632763.73288728,557402.814670029,2018677.84746146,1073594.48984658,1112679.25146401,1665168.97968468,1924816.07895756,583053.756830798,802552.715061293,930617.390361572,1377426.24400467,1529585.96471799,1573167.21523015,1014248.64255019,803693.63678697,530742.600911041,1894261.35268637,869837.309134036,880067.163813195,677258.488562579,1735755.36933366,930410.587676196,1164668.07494248,881840.586615531,993190.653301638,1550893.78356902,1264819.60162505,2244614.66250427,701162.002713072,771312.134441318
"Unknown 088",83544.197830884,159288.188302824,167416.961051465,99845.804353632,170092.433897031,110279.801847034,102944.713770236,99313.925325784,183993.605908711,234216.837260683,182198.413679074,111384.362594853,94804.7357007073,117125.5097853,130630.536235754,229932.196514345,140352.564450355,320534.576696283,168779.197724998,70186.25980096,88709.782582548,129464.070536891,223527.911468596,62983.248291634,109916.301022066,138786.378339563,149942.805312896,68545.1958406734,93074.978070963,104866.03046654,55188.381693838,142872.524337646,137606.518789098,133130.775923763,100466.895200967,130585.348490429,254984.183975464,27212.454015492,95772.591137764,45162.086932416,100618.487633242,95503.265683527,93201.037040644,47057.127447616,134508.549562618,149658.898679804,122495.54194756,90853.997755821,93170.5274345368,72282.396620156
"Unknown 089",193606.330739722,121391.203653936,206766.92926907,223131.738282495,129603.902048056,175652.767467654,192580.795666536,248033.41929037,221735.855427964,248942.198894037,197336.318464068,213939.051170722,201452.019732656,229159.803508074,229174.27724341,389820.406610778,186376.737857077,112999.805645575,230294.175581947,212569.838971757,204399.326120664,147710.084158402,130451.593354516,141705.662048876,187457.118133072,450745.852562061,260298.562893443,192233.590606598,243253.35059703,284438.198368501,353570.937625573,303460.664138034,414300.38604519,264781.368696429,325380.04001711,285391.444527202,253121.27798576,164126.109123604,289717.55767521,236398.566466355,327940.831709485,300227.909513508,332065.066181646,198047.143460398,241702.770172054,217759.647728013,194659.314243705,252221.467351299,190283.562313043,188589.869672342
"Unknown 090",251713.25227072,281251.095250253,349796.82702396,325322.34359059,653472.50027151,181051.386631335,305635.25713798,579033.26518219,424420.914653188,512067.401943404,261358.972914396,375204.871381234,341016.93415646,516194.375293,440871.97875926,418087.595113242,589285.241724429,385104.090337607,671921.93770261,274813.71933,185584.07084428,283894.10314111,437135.516956872,188984.769148359,243569.34633597,823972.76408632,422900.804745208,245918.80385888,231668.802133642,373469.48282674,368817.967523324,700871.05849352,587829.0729648,324339.422755486,530158.090225825,481038.55572884,406957.59302977,120706.68681036,446013.94155242,211370.24553045,650571.91393584,637197.151282155,662958.40994261,267901.217126845,603917.37423715,719221.897354106,451739.32455223,362787.942758222,220881.27160717,313676.0211441
"Unknown 091",46907.2025311299,97775.4130110466,47014.3630616113,25649.976606332,106737.076140327,39733.131202595,67471.97342388,49876.192317351,75531.2504904678,51476.7047843181,66013.2841925513,37422.4505725123,84145.1218439086,88644.9555050433,97904.9829402092,164215.538501576,110691.556636324,82125.742934441,30461.3841967769,99856.6201760016,52049.894461346,68968.8326516128,19437.8262288765,16557.5403962842,103743.758129223,75179.7541309542,37499.1693011066,46964.9005279804,99637.546866386,27422.554620568,80863.427259057,59674.6925614476,38827.2401570134,61260.6608180152,19125.9245731296,47069.837638207,76270.263753167,18698.9556164356,24880.4923293022,16107.344072027,42164.538436898,35205.8763539369,165294.05567034,144592.112124775,74535.156402988,108888.30167792,77202.7246703075,149226.652590078,84478.9890172802,132742.38853583
"Unknown 092",203531.211808264,165765.429989239,184592.855318032,175849.275660785,191877.904865572,159069.124569337,106316.935683943,81898.973793333,84425.400227022,303647.018454813,238811.985165923,53792.335904622,87880.739652786,138381.549783367,131294.932023815,323184.291071785,60867.925502278,393736.039312986,92003.671365618,211163.477291514,35890.6962076261,33298.177143728,138696.917646538,77159.684606293,67712.771720593,140473.415303341,219944.676737336,40564.01775666,12739.579301244,65263.953895785,140188.94493875,114042.98654897,111404.398155703,57333.890769038,36482.183408254,6485.1258390144,170266.17088732,56064.6208774142,9669.4500476224,24994.930418683,114672.831670335,44721.452865413,59650.280096847,50926.96003584,47473.365863349,90078.492909075,68243.974274612,133058.653818959,36037.7728340252,34367.364114494
"Unknown 093",779539.610606082,675005.11755539,1353348.7325571,663910.042501983,813735.164926301,972212.835038326,677433.603749636,514145.449341416,892877.788041195,1002654.15683249,944593.511568701,1219806.0636449,904140.163523094,835327.478835499,963542.438607131,959972.009344343,1082599.20679122,1058843.22875215,1303927.45466391,743671.305561237,761255.329846384,1079574.43587716,1019831.43702472,631668.27902659,671991.857203114,1440541.55970017,1497128.81977078,617293.72011233,724214.53530881,1141764.0677414,852492.723913349,701985.071421304,1334680.94971225,622287.256876682,1029989.66474112,1390530.15910569,1251971.33366005,379690.207415092,769010.999950643,872482.786843157,1348908.95449523,641310.234297984,1386121.63770153,769994.09799777,940769.285985905,631097.459534776,756593.577153979,963034.726146483,721761.492161185,613612.162397334
"Unknown 094",168827.930874616,112564.43668686,142048.202493663,168459.434221255,267607.514056812,108263.690456493,78469.99849764,72282.000539097,124465.075144462,165286.762755612,306125.115267855,283012.547835975,117579.967681665,247785.249944603,202784.656791904,297721.051837144,190969.75664479,82197.082496717,381224.012253042,222400.85775623,144010.192694083,268155.758203324,145244.5324527,73904.53523155,88533.618692373,300097.053454971,156350.279386717,80914.350708853,224585.012644536,266897.637170543,130957.321379568,232040.843741071,93760.808284196,62839.853069585,67386.75542664,327112.133147628,231873.57672735,46009.823294106,184926.060055512,95016.109046818,178726.596941398,184663.557688078,249345.444137888,195758.677214058,227642.625202521,99330.67695451,69572.82777889,174440.38490469,101845.274777015,71717.49265772
"Unknown 095",24743.8646431981,31952.25038804,58189.03002417,9582.22610655186,56826.8051676879,33573.8834856,22613.5415900516,36629.04015924,43240.7767839,57737.46521025,47038.16920005,46924.558332788,39235.21305179,74951.20850826,59522.43482285,59795.814493694,56248.61461694,48308.810616083,65201.568280406,46539.7331481,35086.3948836,51220.77006428,47081.36577415,32756.17621357,36532.90965786,87204.814308404,58431.8898508,54347.11552374,72781.53263637,54257.001058732,44510.47127424,51673.315666736,67442.831193274,57191.351547198,63012.258566868,52773.063924112,71482.939859593,32855.97718517,55715.4562794,54599.4470897684,79360.059150566,70546.46424576,82955.015753894,73457.95439846,52259.70804579,57942.81110117,52328.20613843,69978.162974066,53475.61329839,43820.172096406
"Unknown 096",159947.83550388,224189.35430883,847918.289271669,839831.418650178,397203.19564396,193697.96251888,330272.3516122,878417.639787921,845484.964789337,639382.119004828,456948.11945625,192214.9417884,112748.06016906,975951.100514818,251327.78755598,1053667.09089686,217454.04282457,273183.37713686,864712.464337524,258699.83966472,389632.354626913,180161.23767419,248472.95496907,384832.608705651,200688.0395589,479735.32809235,798092.487886925,605276.564165183,187043.37227634,431462.775589922,213709.00529331,985911.257377656,289877.94727564,282235.57524426,249848.48280555,313842.45065453,310665.07859488,240300.614844046,235463.86238287,279517.482216677,920478.388460456,321414.17496706,225249.53049597,133755.2274156,413335.04553696,348597.19282058,181718.79643922,743602.873465773,371517.967242214,214134.70254091
"Unknown 097",127134.618951893,434924.438795973,238107.857718484,326583.969442248,180979.43432572,62198.242360012,187532.35042597,123622.80447597,465201.226122507,415998.25609938,155570.94245508,805641.108737028,127733.887001272,138734.194674073,125659.533241334,312688.520719812,374469.979024285,198533.198254128,122602.470255558,291474.042941352,306809.65940849,271047.518910025,402679.034078669,41791.220447129,129043.466036646,250829.998411515,180651.922263422,145351.38924427,62147.709985192,300083.666369948,155638.42780244,158927.51527503,359507.375711631,252535.708844145,254386.61071629,239853.49566382,456011.592457874,148651.911137654,186551.79575002,218566.514031444,402430.603367311,116531.414761854,286886.562407264,42527.8722300628,370020.169698406,297703.986261632,157842.02229657,45582.367953462,200683.524961002,67077.865568788
"Unknown 098",NA,23615.49197073,114004.884687791,22713.991898347,156476.97120475,45485.305722973,87361.37473398,36690.093976568,98239.83507725,23530.787432163,54288.82452915,47927.29374408,64540.5530371502,53061.222220734,76174.028172188,22506.348230964,29769.422803452,83320.132418624,97619.613462208,94297.443321054,24626.692252203,13738.367534928,58717.4242944,29821.047624827,47515.12040565,118648.77520225,111459.84053297,29170.109814183,91083.88705904,72328.34640792,108861.720627304,63123.24418898,87331.132389236,12248.2974215,40576.460265723,96381.262353688,34582.58332714,10818.963965992,7105.184361777,18821.829151128,129384.525130023,122539.53905683,101011.983410656,51052.627561442,25995.44332176,17785.131538746,51331.78880951,148744.40493217,58308.2973411,72123.156742586
"Unknown 099",7524.2599160355,89331.510213338,139137.563834397,192018.291988663,178553.790254171,85038.5140561164,157049.639911893,138020.313234648,181446.509447217,223149.217452987,182199.467538541,182887.219804667,135673.025788335,214745.378252405,111844.089068925,175417.80253035,123137.296013217,199184.79347038,218513.348956831,165495.029242574,126108.029805145,5772.3337318615,148484.454586551,75682.3331876171,140616.124834313,257615.637146735,238492.700845921,108770.698529848,72305.754697648,102690.975401111,131522.660287135,151848.387909387,206666.155815509,69753.0500665,141814.062468463,114392.833179985,185255.470545882,49872.921962415,180070.640810039,49823.775065055,229107.954165419,213102.884592277,155652.266956777,72768.767566878,119871.035616274,180488.51904354,79821.113199184,149411.533728489,65672.4106226232,77474.230839651
"Unknown 100",505501.865877176,602561.343949778,389925.798225354,619424.640170022,961529.801221714,628347.639481875,459999.738172418,440779.805113132,602351.87754832,682668.878120992,454447.541435823,518176.97638244,575246.640929911,290939.413689864,796472.184387661,488992.43197948,523940.08598803,857887.350647992,894373.624619144,447439.715073683,274444.595019174,555944.173916615,529146.239903286,383396.109764654,491496.54319796,366770.361805127,734601.503987552,271602.5235624,596900.203949774,621861.257346458,578457.882428155,687038.233103406,723427.466641954,415516.328003169,620918.546756535,540314.932624606,734298.003193242,305194.66006157,412809.074717286,391839.630568335,737479.855185484,424351.008612215,862751.720060128,263591.816875154,974436.212739193,1049382.66315823,894032.774639333,489525.547439484,284596.30659672,357657.456452555
"Unknown 101",854374.495758903,751008.959210091,1042318.54972691,687660.1050031,805073.801249824,589159.691437518,690220.163998588,576676.056450384,1019006.88973628,824057.791521056,797785.324728154,791604.542084948,574983.046348136,714492.087161582,648912.59709081,947455.243091426,599576.588927405,556639.461038276,753881.763799345,397294.208070522,393708.6864916,534465.869974464,532358.790680081,281454.695039064,440082.65589852,1759594.1342789,1579932.10143195,674063.845559998,842506.048629004,1124331.2128434,966983.875400632,768597.348630816,1118907.71492467,626657.602471307,966221.417199981,926189.563609664,1398137.72491826,526027.523171859,1102591.11335347,625419.359666222,1289405.62487753,941342.944920938,1183821.57150206,582907.890839682,848096.323717979,792952.10023873,782321.622883937,679810.418030084,559727.748784761,529552.453386372
"Unknown 102",244446.604081842,646015.124127865,335641.331687379,138585.438493293,1076367.47931364,301065.955843589,403705.596681352,247457.176781884,621415.067899513,236564.452260229,390382.523218109,213152.36265527,608525.690934362,515152.359634667,648002.228121478,1109244.08818126,793001.70613177,421497.530739342,84087.8984982655,901747.147132393,377685.679815936,615436.61473074,41547.1464156151,87358.939387503,736931.769006659,387299.052972845,103295.883440769,456824.552261207,895239.238510234,106216.555883188,449027.957883449,568913.487937078,247271.103452996,353099.222695157,99716.245172392,539918.363239399,659369.933788932,143667.69850316,196170.142695032,114901.967156722,240277.724960969,164716.305609443,637103.728048636,571454.275279815,146597.423962921,417655.278817681,356486.219643449,506260.891702698,419993.197359741,596345.358960439
"Unknown 103",165458.471961362,178596.703169916,169151.297457015,153520.836779313,283185.008583576,119843.590913538,150275.78170299,98085.035275612,238109.42306394,188456.567530686,158996.798321648,169055.823730414,119170.739794792,112381.596891505,187237.820792642,179182.124914315,163922.235024618,249066.285044358,157338.677405619,125577.292292841,117606.964657572,127064.843099336,208029.021667994,81948.6790656564,150280.428632549,434536.6780101,283742.311231922,123344.141406998,166993.748181215,190315.119827468,266283.866334409,164328.563305651,292755.133221874,45456.07014852,149540.061391959,281527.3293336,198046.35247487,109965.677456286,258149.029226188,125659.423663199,308793.540205744,144050.695330428,196280.594622326,137961.060086651,137647.020822505,200983.15005078,181696.851088498,228680.164760175,140507.19333466,133981.272004088
"Unknown 104",403015,673578,326451,507857,625410,403411.043803858,369139.5559536,238890.78909144,738780.64493334,807839.160317142,616045.90573504,483471,778182.41493157,232555.67144808,213443.27979317,290725.350148135,749508.57935625,246533.95701885,179846.51734911,152681.6042685,935908.97085118,514965.5959564,579612.932901298,578976.04449592,370872,759102,349785.1617989,226243.368592874,379832.835798662,173877.65821002,303737.0485708,427314.039712286,795261.098260601,696392.59630147,735527.7253635,402671.8699273,349862.23018673,171531.90670783,204757.99970511,525471.30275448,375940.73740021,424815.252354763,351707.72329068,857025.62784163,283084.2048056,448289.37974566,703328.03224368,332553.9987794,147471.446111685,191516
"Unknown 105",278989.26345723,678073.517417185,288305.710151293,382545.72577225,460622.993308705,294630.889336986,500532.465205406,173340.664845154,513960.931971443,433071.446890388,388734.784514856,411033.421867503,572544.550064247,322992.491812838,453011.363066886,269777.646072246,512393.004306998,360474.445621407,427040.395178046,284501.201905752,644046.76745032,395112.980182667,304469.514752512,534538.306260896,274208.148189645,213524.736936719,291112.241483048,194345.839289578,356019.952258336,438502.698358168,250769.62122798,257746.734325064,649732.963370312,554604.147878508,622932.676779664,560827.926111269,668709.791419835,111716.280947301,266544.394819671,364816.767805001,375699.281950225,222234.9267604,497294.273369896,574932.7873609,362089.500462158,341420.691237191,531737.428772495,318232.38399977,368464.125801205,676763.381857626
"Unknown 106",84030.381455883,82660.337534783,86841.559327168,55438.969180221,126455.510638136,93651.629794722,41134.187077948,57215.947277748,57340.054574724,118141.356862485,97398.26873964,55823.677707207,68090.555798831,86937.358915404,94248.547053458,135024.736435469,73557.525231009,61087.711386835,116110.768593493,64687.347007102,31419.8193313274,40571.83102756,64979.553063259,28826.529171782,57991.964188764,113972.786626486,112834.302594286,57500.066929865,49798.254017731,72338.313068771,93852.226373204,79850.117631851,90732.581946426,70861.194963497,136232.164800931,80679.933893344,134720.603332424,43794.72432238,81347.78381948,39532.24788715,106592.368979345,75079.079927242,83600.977549128,56737.014184318,NA,62937.488318621,42355.02117374,84974.449629158,37071.965445549,37227.028866543
